2025-11-28 04:08:00.375 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/masterjunmo/.cache/ttnn,model_cache_path=/home/masterjunmo/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2025-11-28 04:08:11.421 | info     |           Metal | [Timer] matmul: 212 us (timer.hpp:21)
2025-11-28 04:08:11.421 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.421 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.421 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.421 | info     |           Metal | [Timer] matmul: 207 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] transpose: 55 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] add: 70 us (timer.hpp:21)
2025-11-28 04:08:11.422 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] add: 70 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] matmul: 208 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.423 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] matmul: 208 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.424 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] matmul: 208 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.425 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] transpose: 58 us (timer.hpp:21)
2025-11-28 04:08:11.426 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] add: 67 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] matmul: 207 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.427 | info     |           Metal | [Timer] transpose: 57 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] matmul: 207 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] matmul: 209 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] transpose: 57 us (timer.hpp:21)
2025-11-28 04:08:11.428 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] matmul: 207 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] transpose: 62 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] matmul: 214 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.429 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] transpose: 54 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] matmul: 208 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.430 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] add: 67 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] matmul: 204 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.431 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] matmul: 209 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] add: 68 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] matmul: 209 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] add: 69 us (timer.hpp:21)
2025-11-28 04:08:11.432 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] matmul: 206 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] add: 74 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] matmul: 207 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] transpose: 51 us (timer.hpp:21)
2025-11-28 04:08:11.433 | info     |           Metal | [Timer] add: 67 us (timer.hpp:21)
2025-11-28 04:08:11.434 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
2025-11-28 04:08:11.434 | info     |           Metal | [Timer] matmul: 212 us (timer.hpp:21)
2025-11-28 04:08:11.434 | info     |           Metal | [Timer] transpose: 52 us (timer.hpp:21)
